is_sarcastic,headline,article_link
1,Nhà Chuột bị chê phá nát tuổi thơ của bao thế hệ,https://kenh14.vn/nha-chuot-bi-che-pha-nat-tuoi-tho-cua-bao-the-he-20230616124655055.chn 
1,Đến lượt công chúa tóc mây Disney có bản người đóng,https://kenh14.vn/den-luot-cong-chua-toc-may-disney-co-ban-nguoi-dong-nhan-sac-nu-chinh-gay-tranh-cai-cha-kem-nang-tien-ca-20230613110702816.chn 
1,Chế giễu ngoại hình từ câu chuyện về nàng tiên cá da màu trên phim,https://kenh14.vn/che-gieu-ngoai-hinh-tu-cau-chuyen-ve-nang-tien-ca-da-mau-tren-phim-20230607143634671.chn 
1,Lãnh Thanh bị chê diễn đơ trong Nơi Giấc Mơ Tìm Về,https://kenh14.vn/lanh-thanh-bi-che-dien-do-trong-noi-giac-mo-tim-ve-20230615184242961.chn 
1,Nhân vật vô lý nhất phim Cuộc Đời Vẫn Đẹp Sao,https://kenh14.vn/nhan-vat-vo-ly-nhat-phim-cuoc-doi-van-dep-sao-20230614095239346.chn 
1,Phim Việt càng dài càng đuối,https://kenh14.vn/phim-viet-cang-dai-cang-duoi-20230613223815804.chn 
1,Phim doanh thu 0 đồng vì cặp nam chính chuyên đóng hài nhảm,https://kenh14.vn/phim-doanh-thu-0-dong-vi-cap-nam-chinh-chuyen-dong-hai-nham-20230615150401684.chn 
1,Phim mới của Địch Lệ Nhiệt Ba chạm đáy rating,https://kenh14.vn/phim-moi-cua-dich-le-nhiet-ba-cham-day-rating-20230615102314236.chn 
1,Câu thoại táo bạo của Jennie (BLACKPINK) trở thành chủ đề nóng,https://kenh14.vn/cau-thoai-tao-bao-cua-jennie-blackpink-tro-thanh-chu-de-nong-20230613202553272.chn 
1,Tài tử ngất xỉu khi đóng cảnh bị bạn diễn nữ bóp cổ,https://kenh14.vn/tai-tu-ngat-xiu-khi-dong-canh-bi-ban-dien-nu-bop-co-20230611135745725.chn 
1,4 mẫu sandal bạn nên từ bỏ,https://kenh14.vn/4-mau-sandal-ban-nen-tu-bo-20230611172418435.chn 
1,4 kiểu áo ''dìm dáng'' người mặc,https://kenh14.vn/4-kieu-ao-dim-dang-nguoi-mac-20230509213559435.chn 
1,Brand của Linh Ngọc Đàm bị shop Taobao ''trộm'' thiết kế: Bê nguyên ảnh mẫu đi quảng cáo,https://kenh14.vn/brand-cua-linh-ngoc-dam-bi-shop-taobao-trom-thiet-ke-be-nguyen-anh-mau-di-quang-cao-con-ban-gia-re-hon-gap-10-lan-20230421192955546.chn 
1,Tuyển Thái Lan bị đối thủ đứng dưới 42 bậc trên BXH FIFA cầm chân,https://kenh14.vn/tuyen-thai-lan-bi-doi-thu-dung-duoi-42-bac-tren-bxh-fifa-cam-chan-20230617000047016.chn 
1,Thua ĐT Việt Nam,https://kenh14.vn/thua-dt-viet-nam-hlv-dt-hong-kong-trung-quoc-do-loi-cho-trong-tai-20230616074403862.chn 
1,CĐV ra về sớm,https://kenh14.vn/cdv-ra-ve-som-buon-phien-voi-man-trinh-dien-cua-doi-tuyen-viet-nam-20230616115547329.chn 
1,Chủ tịch PSG gọi Mbappe là 'kẻ phản bội',https://kenh14.vn/chu-tich-psg-goi-mbappe-la-ke-phan-boi-20230615171600905.chn 
1,Ngôi sao Man City bị HLV Pep Guardiola đối xử phũ phàng,https://kenh14.vn/ngoi-sao-man-city-bi-hlv-pep-guardiola-doi-xu-phu-phang-tuoc-quyen-nhan-hcv-champions-league-20230612235019789.chn 
1,Mbappe sút vỡ mặt khán giả nữ,https://kenh14.vn/mbappe-sut-vo-mat-khan-gia-nu-20230611235113595.chn 
1,Bảng xếp hạng 10 CLB mạnh nhất châu Âu: Man City bỏ xa MU,https://kenh14.vn/bang-xep-hang-10-clb-manh-nhat-chau-au-man-city-bo-xa-mu-20230611183613409.chn 
1,Đầu tư chứng khoán qua Facebook,https://kenh14.vn/dau-tu-chung-khoan-qua-facebook-co-gai-mat-trang-13-ty-dong-20230616191352213.chn 
1,Mang tăm xỉa răng dùng nhiều năm đi thẩm định,https://kenh14.vn/mang-tam-xia-rang-dung-nhieu-nam-di-tham-dinh-nguoi-dan-ong-khong-dam-an-com-khi-nghe-chuyen-gia-tiet-lo-su-that-20230616204447833.chn 
1,Tú ông điều hành đường dây gái gọi 'Boss Long Xuyên' bị bắt giữ,https://kenh14.vn/tu-ong-dieu-hanh-duong-day-gai-goi-boss-long-xuyen-bi-bat-giu-20230616195313996.chn 
1,Quả dứa giá 350 triệu đồng là giống hiếm,https://kenh14.vn/qua-dua-gia-350-trieu-dong-la-giong-hiem-duoc-trong-bang-nuoc-tieu-ngua-20230616184557786.chn 
1,Trang Nemo lĩnh án 9 tháng tù,https://kenh14.vn/trang-nemo-linh-an-9-thang-tu-20230616185911416.chn 
1,Người phụ nữ bị đâm tử vong tại chỗ do mâu thuẫn khi mua bán bò,https://kenh14.vn/doi-nhieu-lan-khong-duoc-chu-no-dam-chet-con-no-20230616164428805.chn 
1,Bộ ảnh cho thấy cuộc sống không như mơ ở New York: Thực phẩm đắt đỏ,https://kenh14.vn/bo-anh-cho-thay-cuoc-song-khong-nhu-mo-o-new-york-thuc-pham-dat-do-dau-dau-cung-dong-duc-thieu-ve-sinh-20230616153223757.chn 
1,Lại xuất hiện hành vi lừa đảo làm dịch vụ BHXH ở TP.HCM,https://kenh14.vn/lai-xuat-hien-hanh-vi-lua-dao-lam-dich-vu-bhxh-o-tphcm-20230616151906337.chn 
1,Dương Lệ Bình lên tiếng về điệu múa chim công gợi dục,https://kenh14.vn/duong-le-binh-len-tieng-ve-dieu-mua-chim-cong-goi-duc-20230616104946211.chn 
1,Người phụ nữ nguy kịch,https://kenh14.vn/nguoi-phu-nu-nguy-kich-phai-tho-may-sau-khi-quan-he-tinh-duc-20230616104210315.chn 
1,Đình chỉ công việc nhân viên sân bay phát ngôn phản cảm khi phục vụ khách khuyết tật,https://kenh14.vn/dinh-chi-cong-viec-nhan-vien-san-bay-phat-ngon-phan-cam-khi-phuc-vu-khach-khuyet-tat-20230301084042415.chn 
1,Người mẹ sinh 5 đầu tiên ở Việt Nam bức xúc thông tin 5 chồng đẻ 5 con,https://kenh14.vn/nguoi-me-sinh-5-dau-tien-o-viet-nam-buc-xuc-thong-tin-5-chong-de-5-con-20230223113516747.chn 
1,Ranh giới giữa nghệ thuật và dung tục vụ 'Vua Nệm' thành 'Vua Nện': Cần nghiêm khắc hơn với quảng cáo phản cảm,https://kenh14.vn/ranh-gioi-giua-nghe-thuat-va-dung-tuc-vu-vua-nem-thanh-vua-nen-can-nghiem-khac-hon-voi-quang-cao-phan-cam-20230217175037568.chn 
1,Kỳ lạ hồ nước đẹp như tranh vẽ,https://kenh14.vn/ky-la-ho-nuoc-dep-nhu-tranh-ve-nhung-tung-giet-gan-2000-nguoi-trong-mot-dem-20230611125628835.chn 
1,Tại sao những bộ phim báo thù như The Glory lại hấp dẫn người xem đến vậy và liệu chúng có cổ xúy cho tâm lý trả thù tiêu cực?,https://kenh14.vn/tai-sao-nhung-bo-phim-bao-thu-nhu-the-glory-lai-hap-dan-nguoi-xem-den-vay-va-lieu-chung-co-co-xuy-cho-tam-ly-tra-thu-tieu-cuc-20230313152114057.chn 
1,Cặp đôi Vbiz kết hôn sau 5 năm chia ly - tái hợp: Xung đột căng thẳng hơn sau khi có con,https://kenh14.vn/cap-doi-vbiz-ket-hon-sau-5-nam-chia-ly-tai-hop-xung-dot-cang-thang-hon-sau-khi-co-con-2023061506565292.chn 
1,Đạo diễn 'yêu râu xanh' phải rút khỏi giới giải trí vì quấy rối tình dục nhiều sinh viên nữ,https://kenh14.vn/dao-dien-yeu-rau-xanh-phai-rut-khoi-gioi-giai-tri-vi-quay-roi-tinh-duc-nhieu-sinh-vien-nu-20230616064355859.chn 
1,Vợ cũ Đan Trường khoe ảnh gia đình hạnh phúc dù đã 'đường ai nấy đi',https://kenh14.vn/vo-cu-dan-truong-khoe-anh-gia-dinh-hanh-phuc-du-da-duong-ai-nay-di-20230615204549275.chn 
1,Diễn viên Việt lên hương nhờ vai diễn sở khanh,https://kenh14.vn/dien-vien-viet-len-huong-nho-vai-dien-so-khanh-la-ong-chu-cua-chuoi-nha-hang-hon-100-chi-nhanh-20230612144705687.chn 
1,Ngọc nữ Nhật Bản bị hủy phim,https://kenh14.vn/ngoc-nu-nhat-ban-bi-huy-phim-nhan-hang-gach-ten-sau-vu-ngoai-tinh-20230611095032017.chn 
1,Cảnh lãng mạn hóa lãng xẹt trong phim Ấn Độ,https://vnexpress.net/canh-lang-man-hoa-lang-xet-trong-phim-an-do-4617081.html 
1,Vợ cầm roi đến tận bàn bi-a gọi chồng về,https://vnexpress.net/vo-cam-roi-den-tan-ban-bi-a-goi-chong-ve-4616483.html 
1,1.001 cách gian lận của sinh viên Nhật,https://vnexpress.net/1-001-cach-gian-lan-cua-sinh-vien-nhat-4615465.html 
1,Thanh niên bị nghiệp quật vì cười bạn trượt cầu thang,https://vnexpress.net/thanh-nien-bi-nghiep-quat-vi-cuoi-ban-truot-cau-thang-4614290.html 
1,Chú rể ngất xỉu khi thấy mặt mộc cô dâu,https://vnexpress.net/chu-re-ngat-xiu-khi-thay-mat-moc-co-dau-4612966.html 
1,Chồng không dám ăn vì vợ chụp ảnh sống ảo,https://vnexpress.net/chong-khong-dam-an-vi-vo-chup-anh-song-ao-4612236.html 
1,Thanh niên ăn sạch nho của tiệm khi nghe điện thoại,https://vnexpress.net/thanh-nien-an-sach-nho-cua-tiem-khi-nghe-dien-thoai-4602538.html 
1,Cô gái hốt hoảng nhìn bộ lông mày mới,https://vnexpress.net/co-gai-hot-hoang-nhin-bo-long-may-moi-4598280.html 
1,Chồng nhảy cùng người đẹp khiến vợ nóng mắt,https://vnexpress.net/chong-nhay-cung-nguoi-dep-khien-vo-nong-mat-4597417.html 
1,Người đàn ông rơi xuống nước vì mải 'làm màu',https://vnexpress.net/nguoi-dan-ong-roi-xuong-nuoc-vi-mai-lam-mau-4592214.html 
0,Israel công bố hệ thống đánh chặn tên lửa bội siêu thanh đầu tiên,https://thanhnien.vn/israel-cong-bo-he-thong-danh-chan-ten-lua-boi-sieu-thanh-dau-tien-185230615101601339.htm 
0,Chiến sự ngày 475: Ông Putin nói phương Tây có thể giúp chấm dứt xung đột,https://thanhnien.vn/chien-su-ngay-475-ong-putin-noi-phuong-tay-co-the-giup-cham-dut-xung-dot-185230614004757653.htm 
0,Trung Quốc mở rộng đáng kể kho vũ khí hạt nhân,https://thanhnien.vn/trung-quoc-mo-rong-dang-ke-kho-vu-khi-hat-nhan-185230612085900078.htm 
0,Đài Loan phát hiện 37 máy bay Trung Quốc tiến vào ADIZ,https://thanhnien.vn/dai-loan-phat-hien-37-may-bay-trung-quoc-tien-vao-adiz-185230608150329998.htm 
0,Thụy Điển sẽ cho phép NATO đóng quân trước khi gia nhập liên minh,https://thanhnien.vn/thuy-dien-se-cho-phep-nato-dong-quan-truoc-khi-gia-nhap-lien-minh-185230609193232239.htm 
0,Khai mạc Lễ hội Nho-Vang Ninh Thuận năm 2023,https://thanhnien.vn/khai-mac-le-hoi-nho-vang-ninh-thuan-nam-2023-185230615230317796.htm 
0,Bao năm cách xa vẫn một bài hát ấy...,https://thanhnien.vn/bao-nam-cach-xa-van-mot-bai-hat-ay-185230615173307893.htm 
0,Tiềm năng nhạc Việt từ thế giới phẳng,https://thanhnien.vn/tiem-nang-nhac-viet-tu-the-gioi-phang-185230613174310128.htm 
