               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.06583,            0.022944,            0.087523,           0.0082383,             0.97521,            0.047639,            0.024376,            0.025854,           0.0047045,            0.059993,            0.070273,            0.003303,            0.003303
                   1,            0.040893,             0.01454,            0.081116,            0.015679,             0.99566,            0.080982,            0.048803,            0.025382,           0.0032474,            0.059396,            0.040207,           0.0065707,           0.0065707
                   2,            0.037529,            0.012083,            0.079648,            0.019165,             0.98202,             0.08404,            0.047604,            0.022302,            0.003348,            0.061245,            0.010075,           0.0097723,           0.0097723
                   3,            0.034891,            0.011395,            0.077575,             0.92138,            0.065909,            0.068009,            0.033283,            0.039554,           0.0068092,            0.060425,            0.009703,            0.009703,            0.009703
                   4,            0.032915,            0.011102,            0.073977,             0.74227,             0.13054,             0.19824,             0.13073,            0.020432,           0.0047376,            0.051402,            0.009703,            0.009703,            0.009703
                   5,            0.033819,            0.010684,            0.069662,             0.62002,             0.45755,             0.47216,             0.35704,            0.013804,           0.0029749,            0.041751,            0.009604,            0.009604,            0.009604
                   6,            0.031026,            0.010436,            0.062351,             0.45274,             0.73027,             0.67687,             0.49406,            0.015148,           0.0026175,            0.031529,            0.009505,            0.009505,            0.009505
                   7,            0.031462,            0.010255,            0.054168,             0.55905,             0.72037,              0.7119,             0.53261,            0.014645,           0.0029685,            0.027592,            0.009406,            0.009406,            0.009406
                   8,            0.032361,            0.010154,            0.048796,             0.74874,             0.84392,             0.90836,             0.67689,            0.015067,           0.0026003,            0.020269,            0.009307,            0.009307,            0.009307
                   9,               0.034,           0.0098052,             0.04633,             0.83563,               0.852,             0.94002,             0.72689,            0.018346,           0.0027564,            0.016624,            0.009208,            0.009208,            0.009208
                  10,            0.033705,           0.0097347,            0.041589,              0.7984,             0.85691,             0.92565,             0.66813,            0.015529,           0.0026056,            0.016548,            0.009109,            0.009109,            0.009109
                  11,            0.034004,            0.010165,            0.037728,              0.8022,             0.85143,             0.93991,              0.7029,            0.018489,           0.0029087,            0.017153,             0.00901,             0.00901,             0.00901
                  12,            0.031923,            0.009795,            0.032601,             0.91752,             0.92613,             0.98124,             0.75729,            0.015484,           0.0026626,            0.010596,            0.008911,            0.008911,            0.008911
                  13,            0.032147,           0.0098634,            0.032325,             0.94548,             0.98204,             0.99071,             0.79934,            0.015869,           0.0023243,            0.005331,            0.008812,            0.008812,            0.008812
                  14,            0.032206,           0.0097272,            0.030456,              0.9351,             0.97624,             0.98942,             0.77901,            0.014464,           0.0024934,           0.0082171,            0.008713,            0.008713,            0.008713
                  15,            0.031321,           0.0097807,              0.0278,             0.85703,              0.8765,             0.93673,             0.75384,            0.014238,           0.0025178,            0.013165,            0.008614,            0.008614,            0.008614
                  16,              0.0308,           0.0097705,            0.025342,             0.93587,             0.95194,             0.98916,             0.80381,            0.012318,           0.0023664,           0.0045131,            0.008515,            0.008515,            0.008515
                  17,            0.031902,           0.0097638,            0.025714,             0.95605,             0.98926,             0.99046,             0.83345,            0.012168,           0.0023094,           0.0034592,            0.008416,            0.008416,            0.008416
                  18,            0.031325,           0.0095065,            0.024767,             0.97193,             0.99242,             0.99299,             0.80621,            0.012919,           0.0023361,           0.0021919,            0.008317,            0.008317,            0.008317
                  19,            0.029521,            0.009433,            0.022555,              0.9673,             0.98782,             0.99299,             0.84175,            0.012701,           0.0022903,           0.0030397,            0.008218,            0.008218,            0.008218
                  20,            0.030022,           0.0094416,            0.022718,             0.92759,             0.95405,             0.98677,             0.76777,            0.012108,           0.0028004,            0.005063,            0.008119,            0.008119,            0.008119
                  21,            0.030565,           0.0093972,            0.024505,             0.95363,              0.9875,              0.9904,             0.82408,            0.014269,           0.0023452,           0.0042515,             0.00802,             0.00802,             0.00802
                  22,            0.029905,            0.009565,            0.022483,             0.92145,             0.94576,             0.98618,             0.78987,            0.012886,           0.0025916,           0.0046277,            0.007921,            0.007921,            0.007921
                  23,            0.029585,           0.0092769,            0.022729,             0.98012,             0.98573,             0.99278,             0.82532,            0.012408,           0.0023024,           0.0015173,            0.007822,            0.007822,            0.007822
                  24,            0.029104,           0.0091491,             0.02084,             0.94294,             0.86372,             0.97245,             0.78689,            0.012881,           0.0026517,            0.010165,            0.007723,            0.007723,            0.007723
                  25,            0.030362,           0.0093363,            0.021284,             0.92015,             0.90566,             0.95044,             0.71015,             0.01378,           0.0035869,           0.0053784,            0.007624,            0.007624,            0.007624
                  26,            0.028628,           0.0092274,            0.022209,             0.91429,             0.95324,             0.98096,             0.81719,            0.011767,           0.0024459,           0.0072738,            0.007525,            0.007525,            0.007525
                  27,            0.028929,            0.009194,            0.020302,             0.92405,              0.9473,             0.97714,             0.81114,            0.011015,           0.0024137,           0.0075021,            0.007426,            0.007426,            0.007426
                  28,            0.030527,            0.009135,            0.019141,             0.97189,             0.98033,             0.99247,             0.80508,            0.011899,           0.0025017,           0.0015019,            0.007327,            0.007327,            0.007327
                  29,            0.028378,           0.0090645,            0.018756,             0.97393,             0.98976,             0.99299,             0.84909,            0.011574,           0.0021775,           0.0011773,            0.007228,            0.007228,            0.007228
                  30,            0.027765,           0.0089727,            0.016069,             0.97594,             0.98977,             0.99299,             0.84195,            0.011099,           0.0021906,           0.0018677,            0.007129,            0.007129,            0.007129
                  31,            0.028478,           0.0090544,            0.017607,             0.93809,             0.91884,             0.98252,             0.81427,            0.010597,           0.0025299,           0.0071866,             0.00703,             0.00703,             0.00703
